what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1322353982543
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1322353982543
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201109151620,"org.eclipse.cdt.codan.core",1322353982544
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1322353982544
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201109151620,"org.eclipse.cdt.codan.ui.cxx",1322353982544
started,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1322353982545
started,bundle,org.eclipse.cdt.make.core,7.1.1.201109151620,"org.eclipse.cdt.make.core",1322353982546
started,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1322353982546
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1322353982546
started,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1322353982548
os,sysinfo,,,"win32",1322353982550
arch,sysinfo,,,"x86_64",1322353982550
ws,sysinfo,,,"win32",1322353982550
locale,sysinfo,,,"en_US",1322353982550
processors,sysinfo,,,"8",1322353982550
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322353982550
java.runtime.version,sysinfo,,,"1.7.0-b147",1322353982550
java.specification.name,sysinfo,,,"Java Platform API Specification",1322353982550
java.specification.vendor,sysinfo,,,"Oracle Corporation",1322353982550
java.specification.version,sysinfo,,,"1.7",1322353982550
java.vendor,sysinfo,,,"Oracle Corporation",1322353982550
java.version,sysinfo,,,"1.7.0",1322353982550
java.vm.info,sysinfo,,,"mixed mode",1322353982550
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322353982550
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322353982550
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1322353982550
java.vm.specification.version,sysinfo,,,"1.7",1322353982550
java.vm.vendor,sysinfo,,,"Oracle Corporation",1322353982550
java.vm.version,sysinfo,,,"21.0-b17",1322353982550
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322353982553
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1322353985690
